institución,DIRECCIÓN,GEOLOCALIZACIÓN,UNIDAD ACADÉMICA / ÁREA,CARRERAS,LINK,Tipo,PERIODO DE INSCRIPCIÓN,Teléfono,CONTACTO,INFO ADICIONAL
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Asistente Estudio Jurídico,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,AutoCad I-II,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Automotriz,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Aux. Mecánico Automotor,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Capacitación Oratoria-Eventos,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Carpintera/o de Banco,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Cerrajera/o,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Chapista,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Cocina Comedor Escolar,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Comunicación Social,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Conf. Lencería Corsetería,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Construcciones,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Coordinador/a Turístico,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,"Elaboración y conservas de carnes, embutidos y frutas",cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Electricista Industrial,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Electromecánica,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Electrónica,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Energía Eléctrica,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Estética Profesional,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Gasista 3ra. Cat. - Unidades Unifuncionales,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Gastronomía,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Herrero de Obra,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Hotelería y Turismo,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Industria Alimentaria,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Industria Gráfica,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Industrias Culturales y Creativas,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Informática,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Inglés I - II,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Inst. y Soporte Sistemas Informáticos,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Instalaciones Sanitarias,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Limpieza Institucional,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Liquidación de Sueldos,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Madera y Mueble,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Maestra/o Pizzero y Rotisero,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Marketing de Productos - Servicios,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Metalmecánica,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Modista,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Muebles Artesanales y Objetos Decorativos,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Oficios Artesanales,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Operador de Informática,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Operador/a de Informática,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Operador/a Socio Comunitario,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Peluquera/o,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Permanentación-Colorista,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Progr. Dispositivos Móviles,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Programación en Aplicaciones Web,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Programación Orientación Robótica Domótica,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Recepcionista y Conserje Hotel,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Recreación de Grupos,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Reparación Refrigeración Doméstica,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Reparador de Muebles - Lustrador,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Salud,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Seguridad y Medio Ambiente,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Soldador,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Téc. Básicas Diseño Indumentaria,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Técnica/o en Diseño Gráfico I - II,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Tejido en Telar,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Textil e Indumentaria,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Tornero Mecánico,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 401,"Coronel Mom 2570, San Martín Centro","-34.58185, -58.55414",,Vendedor/a - Herramientas Marketing y Venta Digital,cfp401sanmartin.com,Educación Técnica,,4752 4497 / 4752 3020,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Administración,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Construcciones,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Electromecánica,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Energía Eléctrica,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Estética Profesional,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Gastronomía,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Industria Alimentaria,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Metalmecánica,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Textil e Indumentaria,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.5427",,Turismo,http://linktr.ee/CFL402,Educación Técnica,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Textil e Indumentaria,Alta Costura,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Gastronomía,Cocinera/o,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Estética Profesional,Colorista y peinador/a,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Textil e Indumentaria,Confección de Bolsos y Mochilas,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Textil e Indumentaria,Confección de Lencería y Corsetería,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Diseño de Página Web,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Diseño y Fabricación Digital,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Industria Alimentaria,Elaboración de Alfajores Regionales,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",,Electrónica,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Textil e Indumentaria,Estampado Múltiple,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Gestión de Emprendimientos Productivos,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Gestión de Redes Sociales,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Habilidades para Emprender,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",,Informática,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Inglés para Negocios I,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Inglés para Negocios II,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Inglés para Tecnología Digital I,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Inglés para Tecnología Digital II,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Electrónica,Instalación y soporte de sistemas informáticos,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Construcciones,Instalaciones Sanitarias,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Energía Eléctrica,Instalador/a de Sistemas Eléctricos de Energías Renovables,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Liquidación de Impuestos,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Liquidación de Sueldos y Jornales,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Construcciones,Mantenimiento Edilicio,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Modelado e Impresión 3D,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Energía Eléctrica,Montador Electricista Domiciliario,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Textil e Indumentaria,Operador de Máquina para la Confección Indumentaria,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Operador/a de Informática para la Administración y Gestión,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Administración y Comercialización,Operador/a de Software de Gestión Administrativo Contable,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Estética Profesional,Peluquería Unisex,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Estética Profesional,Permanentación y Alisado,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Programador/a,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Comunicación Social,Relaciones Laborales y de Género,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Electromecánica,Reparador de Electrodomésticos,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Informática,Robótica y Automatización,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Industria Plástica,Soldador/a Termoplástico,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Textil e Indumentaria,Técnicas Básicas de Diseño de Indumentaria,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Industria Gráfica,Técnicas de Diseño Gráfico en Sistemas Informáticos I,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 402,"Félix Ballester 2240, 2° Piso","-34.57798, -58.54270",Industria Gráfica,Técnicas de Diseño Gráfico en Sistemas Informáticos II,http://linktr.ee/CFL402,Formación Profesional,,4752 2499 INT. 109,,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Actividades Agropecuarias,Huerta Bajo Nylon,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Actividades Agropecuarias,Riego por Gravedad,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Administración y Comercialización,Gestión de Emprendimientos productivos,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Administración y Comercialización,Marketing de Producto,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Comunicación Social,Cultura del Trabajo,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Comunicación Social,Operador/a Socio Comunitario,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Electromecánica,Instalador/a de Sistemas de Automatización,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Electrónica,Instalador y Administrador de Redes Informáticas,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",,Electrónica,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Electrónica,Instalador/a y Soporte de Sistemas Informáticos,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Energía Eléctrica,Electricista Industrial,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Energía Eléctrica,Electricista en Inmuebles,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
CFP 404 'San Francisco de Asís',"Prof. Agüer 7301, José León Suárez","-34.53646, -58.57940",Estética Profesional,Maquillador Profesional,cfp404sanfrancisco.edu.ar,Formación Profesional,,4729 2509,info@cfp404sanfrancisco.edu.ar,
