provider_name,program_name,title,level_or_modality,modality,address,barrio,locality,contact,phone,website,schedule,duration,enrollment_period,notes,unit,lat,lon,maps_url,address_kmz,geo_source
"Centro de Formación 
Laboral N°410",Cerrajera/o,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Diseño y Fabricación Digital,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Electricista en Inmuebles,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Habilidades Digitales,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Instalador de Alarmas de Seguridad,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Instalador de Cámaras de Seguridad,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Instalador y Reparador de Equipos de,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Proyectista Armador/a arduino,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Laboral N°410",Técnica de Diseño Gráfico en Sist.,,Curso,,"Rivadavia 3915, San Martín",,San Martín,cfp410sanmartin@gmail.com,Tel.: 5354 6600 | Int. 9080,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rivadavia+3915%2C+San+Mart%C3%ADn,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Acompañante terapéutico (RM 1014/14),,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Auxiliar de familia especializado en el,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Auxiliar de familia especializado en,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Auxiliar en cuidados de adultas/os,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Barbería,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Carpintería,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Colorimetría,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Cosmetología,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Cult. Aromáticas y Medicinales• Elaboración de viandas,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Curso de primeros auxilios,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Curso de RCPInstitutos,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Electricidad,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Fab. de Juguetes de Madera,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Huerta Orgánica,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Instalación de Paneles Solares,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Instalación de Termos Solares,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
"Centro de Formación 
Profesional N° 426",Manicuría,,Curso,,Riobamba 2847,,San Martín,educa.sandres@cruzroja.org.ar,Tel.: 4755 7600 / 11 5993 1329,https://isft183.edu.ar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riobamba+2847,"Coronel Mom 2570, San Martín Centro<br>Tels.: 4752 4497 / 4752 3020<br>Web: cfp401sanmartin.com<br> <br>Administración y Comercialización<br>Hotelería y Turismo<br>Comunicación Social<br>Gastronomía<br>Industria Alimentaria<br>Salud<br>Seguridad y Medio Ambiente<br>Construcciones<br>Metalmecánica<br>Energía Eléctrica<br>Electromecánica<br>Industria Gráfica<br>Informática<br>Electrónica<br>Industrias Culturales y Creativas<br>Madera y Mueble<br>Automotriz<br>Oficios Artesanales<br>Estética Profesiona<br>Textil e Indumentaria",mymaps
